Event	ID	Name			Wwise Object Path	Notes
	427335347	Play_Sfx_Secret_MSD			\GameWeekEvent\Play_Sfx_Secret_MSD	
	1091716557	Play_Sfx_Pop_Up			\GameWeekEvent\Play_Sfx_Pop_Up	
	1376640657	Play_Sfx_Hit			\GameWeekEvent\Play_Sfx_Hit	
	1898665037	Play_Sfx_Death_MSD			\GameWeekEvent\Play_Sfx_Death_MSD	
	1939947625	Play_Sfx_Skill_GP			\GameWeekEvent\Play_Sfx_Skill_GP	
	1939947640	Play_Sfx_Skill_GA			\GameWeekEvent\Play_Sfx_Skill_GA	
	2360129722	Play_Sfx_Menu_Start			\GameWeekEvent\Play_Sfx_Menu_Start	
	2486555133	Play_Amb_City_Loop			\GameWeekEvent\Play_Amb_City_Loop	
	2653618220	Play_Sfx_Collectible			\GameWeekEvent\Play_Sfx_Collectible	
	3124574401	Play_Sfx_Secret_GA			\GameWeekEvent\Play_Sfx_Secret_GA	
	3124574404	Play_Sfx_Secret_GD			\GameWeekEvent\Play_Sfx_Secret_GD	
	3124574416	Play_Sfx_Secret_GP			\GameWeekEvent\Play_Sfx_Secret_GP	
	3616729134	Play_Sfx_Death_GP			\GameWeekEvent\Play_Sfx_Death_GP	
	3616729146	Play_Sfx_Death_GD			\GameWeekEvent\Play_Sfx_Death_GD	
	3616729151	Play_Sfx_Death_GA			\GameWeekEvent\Play_Sfx_Death_GA	
	3759090466	Play_Sfx_Menu_Select			\GameWeekEvent\Play_Sfx_Menu_Select	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	52057784	Sfx_Voice_GA_Death	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_Voice_GA_Death_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Death_GA\Sfx_Voice_GA_Death		136654
	139867223	Sfx_Death_All	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_Death_All_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Death_All\Sfx_Death_All		176464
	232865724	Sfx_hit_01	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_hit_01_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Hit\Sfx_hit_01		65972
	285461640	Sfx_Voice_MSD_Death	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_Voice_MSD_Death_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Death_MSD\Sfx_Voice_MSD_Death		155452
	323840584	Sfx_hit_03	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_hit_03_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Hit\Sfx_hit_03		70632
	344892017	Sfx_Skill_GA	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_Skill_GA_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Skill_GA\Sfx_Skill_GA		217016
	359531079	Sfx_Skill_GP_Start	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_Skill_GP_Start_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Skill_GP\Sfx_Skill_GP_Start		44164
	364164776	Sfx_hit_02	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_hit_02_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Hit\Sfx_hit_02		70826
	382429675	Sfx_Voice_MSD_Secret	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_Voice_MSD_Secret_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Secret_MSD\Sfx_Voice_MSD_Secret		166730
	455920525	Sfx_Voice_GP_Secret	D:\Game_Project\GameWeek\GW_PitchFight\UnityProject\PitchFight\Assets\Wwise Project\Game Week\.cache\Windows\SFX\Audiosource\Sfx_Voice_GP_Secret_DDC98EF4.wem		\Actor-Mixer Hierarchy\InGame\Sfx_Secret_GP\Sfx_Voice_GP_Secret		104072
